(1373)Cincinnati
0.001186 10000 100 100
3.41703 0.314035 0.679765 1.7214 5.19111 
3.41698 0.314008 0.679765 1.72133 5.19111 
3.41696 0.31398 0.679765 1.72127 5.1911 
3.41696 0.31395 0.679764 1.72121 5.1911 
3.41697 0.313919 0.679764 1.72116 5.1911 
3.41701 0.313885 0.679764 1.72111 5.1911 
3.41705 0.31385 0.679764 1.72106 5.1911 
3.41711 0.313814 0.679764 1.72101 5.19111 
3.41718 0.313777 0.679765 1.72095 5.19111 
3.41726 0.313739 0.679765 1.72089 5.19112 
3.41734 0.313701 0.679765 1.72082 5.19112 
3.41744 0.313663 0.679764 1.72074 5.19113 
3.41754 0.313626 0.679763 1.72065 5.19114 
3.41764 0.313591 0.679761 1.72056 5.19116 
3.41775 0.313556 0.679758 1.72046 5.19117 
3.41786 0.313523 0.679754 1.72035 5.19119 
3.41797 0.313493 0.679749 1.72023 5.1912 
3.41809 0.313465 0.679743 1.72011 5.19122 
3.41821 0.313439 0.679736 1.71999 5.19124 
3.41833 0.313417 0.679728 1.71986 5.19126 
3.41846 0.313397 0.679718 1.71972 5.19127 
3.41858 0.313381 0.679708 1.71959 5.19129 
3.41871 0.313368 0.679697 1.71945 5.19131 
3.41884 0.313359 0.679685 1.71932 5.19132 
3.41897 0.313353 0.679672 1.71919 5.19133 
3.4191 0.31335 0.679659 1.71906 5.19134 
3.41923 0.313351 0.679645 1.71894 5.19135 
3.41936 0.313354 0.679631 1.71882 5.19135 
3.41949 0.313361 0.679617 1.71871 5.19136 
3.41962 0.31337 0.679603 1.7186 5.19136 
3.41976 0.313382 0.67959 1.7185 5.19136 
3.41989 0.313396 0.679577 1.71842 5.19135 
3.42002 0.313412 0.679565 1.71834 5.19134 
3.42015 0.313429 0.679555 1.71827 5.19133 
3.42028 0.313447 0.679546 1.71821 5.19132 
3.42039 0.313465 0.679539 1.71816 5.1913 
3.4205 0.313483 0.679535 1.71813 5.19128 
3.42059 0.313499 0.679533 1.7181 5.19126 
3.42065 0.313512 0.679534 1.71807 5.19125 
3.4207 0.313522 0.679538 1.71804 5.19123 
3.42072 0.313528 0.679544 1.71801 5.19121 
3.42071 0.313532 0.679552 1.71798 5.1912 
3.42067 0.313534 0.679563 1.71792 5.19119 
3.42062 0.313534 0.679574 1.71786 5.19118 
3.42054 0.313535 0.679587 1.71777 5.19117 
3.42045 0.313537 0.6796 1.71767 5.19117 
3.42034 0.313541 0.679613 1.71756 5.19117 
3.42022 0.313548 0.679625 1.71743 5.19118 
3.42009 0.313559 0.679636 1.71729 5.19119 
3.41995 0.313574 0.679647 1.71715 5.19119 
3.4198 0.313593 0.679656 1.71699 5.1912 
3.41965 0.313616 0.679665 1.71684 5.19121 
3.41949 0.313644 0.679671 1.71668 5.19123 
3.41932 0.313677 0.679677 1.71653 5.19124 
3.41916 0.313714 0.679681 1.71638 5.19124 
3.41899 0.313755 0.679684 1.71623 5.19125 
3.41881 0.3138 0.679685 1.7161 5.19126 
3.41864 0.313849 0.679686 1.71597 5.19126 
3.41847 0.313901 0.679686 1.71586 5.19126 
3.4183 0.313956 0.679686 1.71576 5.19126 
3.41812 0.314013 0.679685 1.71567 5.19125 
3.41795 0.314073 0.679685 1.7156 5.19124 
3.41778 0.314134 0.679684 1.71555 5.19123 
3.41761 0.314196 0.679684 1.71551 5.19122 
3.41745 0.314259 0.679685 1.71548 5.1912 
3.41728 0.314322 0.679687 1.71547 5.19118 
3.41712 0.314384 0.679691 1.71548 5.19115 
3.41697 0.314445 0.679695 1.71551 5.19112 
3.41681 0.314506 0.679702 1.71554 5.1911 
3.41667 0.314564 0.67971 1.7156 5.19107 
3.41652 0.314621 0.67972 1.71566 5.19104 
3.41638 0.314675 0.679731 1.71574 5.19101 
3.41624 0.314726 0.679745 1.71583 5.19098 
3.41611 0.314774 0.67976 1.71592 5.19095 
