Jupiter
0.001186 10000 100 100
5.20259 0.0477737 0.0228 4.80623 1.7523 
5.20256 0.047715 0.0228 4.80665 1.7523 
5.20253 0.0476555 0.0228 4.80699 1.7523 
5.2025 0.0475954 0.0228 4.80724 1.7523 
5.20247 0.0475351 0.0228 4.80742 1.7523 
5.20244 0.0474747 0.0228 4.80751 1.7523 
5.20241 0.0474145 0.0228 4.80752 1.7523 
5.20238 0.0473547 0.0228 4.80745 1.7523 
5.20235 0.0472956 0.0228 4.80731 1.7523 
5.20232 0.0472374 0.0228 4.80709 1.7523 
5.20229 0.0471803 0.0228 4.80679 1.7523 
5.20226 0.0471244 0.0228 4.80642 1.7523 
5.20224 0.0470701 0.0228 4.80598 1.7523 
5.20221 0.0470174 0.0228 4.80547 1.7523 
5.20219 0.0469665 0.0228 4.8049 1.7523 
5.20216 0.0469176 0.0228 4.80427 1.7523 
5.20214 0.0468708 0.0228 4.80357 1.7523 
5.20212 0.0468263 0.0228 4.80282 1.7523 
5.2021 0.0467841 0.0228 4.80202 1.7523 
5.20208 0.0467444 0.0228 4.80117 1.7523 
5.20206 0.0467073 0.0228 4.80027 1.7523 
5.20204 0.0466729 0.0228 4.79933 1.7523 
5.20203 0.0466413 0.0228 4.79835 1.7523 
5.20201 0.0466125 0.0228 4.79733 1.7523 
5.202 0.0465866 0.0228 4.79628 1.7523 
5.20199 0.0465637 0.0228 4.79521 1.7523 
5.20198 0.0465439 0.0228 4.7941 1.7523 
5.20197 0.0465271 0.0228 4.79298 1.7523 
5.20197 0.0465134 0.0228 4.79184 1.7523 
5.20196 0.0465029 0.0228 4.79068 1.7523 
5.20196 0.0464956 0.0228 4.78951 1.7523 
5.20196 0.0464914 0.0228 4.78834 1.7523 
5.20196 0.0464905 0.0228 4.78716 1.7523 
5.20196 0.0464927 0.0228 4.78599 1.7523 
5.20196 0.0464981 0.0228 4.78482 1.7523 
5.20196 0.0465068 0.0228 4.78366 1.7523 
5.20197 0.0465185 0.0228 4.7825 1.7523 
5.20198 0.0465334 0.0228 4.78137 1.7523 
5.20198 0.0465514 0.0228 4.78025 1.7523 
5.202 0.0465725 0.0228 4.77916 1.7523 
5.20201 0.0465966 0.0228 4.77809 1.7523 
5.20202 0.0466236 0.0228 4.77706 1.7523 
5.20203 0.0466536 0.0228 4.77605 1.7523 
5.20205 0.0466863 0.0228 4.77509 1.7523 
5.20207 0.0467218 0.0228 4.77416 1.7523 
5.20209 0.04676 0.0228 4.77328 1.7523 
5.20211 0.0468007 0.0228 4.77245 1.7523 
5.20213 0.0468438 0.0228 4.77167 1.7523 
5.20215 0.0468893 0.0228 4.77094 1.7523 
5.20217 0.0469369 0.0228 4.77027 1.7523 
5.2022 0.0469866 0.0228 4.76966 1.7523 
5.20222 0.0470382 0.0228 4.76912 1.7523 
5.20225 0.0470916 0.0228 4.76864 1.7523 
5.20228 0.0471466 0.0228 4.76822 1.7523 
5.2023 0.047203 0.0228 4.76788 1.7523 
5.20233 0.0472605 0.0228 4.76762 1.7523 
5.20236 0.0473191 0.0228 4.76743 1.7523 
5.20239 0.0473785 0.0228 4.76731 1.7523 
5.20242 0.0474385 0.0228 4.76727 1.7523 
5.20245 0.0474988 0.0228 4.76732 1.7523 
5.20248 0.0475592 0.0228 4.76744 1.7523 
5.20251 0.0476195 0.0228 4.76765 1.7523 
5.20254 0.0476794 0.0228 4.76794 1.7523 
5.20257 0.0477386 0.0228 4.76831 1.7523 
5.2026 0.0477969 0.0228 4.76876 1.7523 
5.20263 0.047854 0.0228 4.76929 1.7523 
5.20265 0.0479097 0.0228 4.7699 1.7523 
5.20268 0.0479636 0.0228 4.77059 1.7523 
5.20271 0.0480154 0.0228 4.77136 1.7523 
5.20273 0.048065 0.0228 4.77219 1.7523 
5.20276 0.0481121 0.0228 4.7731 1.7523 
5.20278 0.0481564 0.0228 4.77407 1.7523 
5.2028 0.0481976 0.0228 4.77511 1.7523 
5.20282 0.0482355 0.0228 4.7762 1.7523 
5.20283 0.0482699 0.0228 4.77735 1.7523 
5.20285 0.0483007 0.0228 4.77854 1.7523 
5.20286 0.0483275 0.0228 4.77978 1.7523 
5.20287 0.0483504 0.0228 4.78106 1.7523 
5.20288 0.048369 0.0228 4.78236 1.7523 
5.20289 0.0483833 0.0228 4.78369 1.7523 
5.2029 0.0483933 0.0228 4.78504 1.7523 
5.2029 0.0483988 0.0228 4.7864 1.7523 
5.2029 0.0483998 0.0228 4.78775 1.7523 
5.2029 0.0483964 0.0228 4.78912 1.7523 
5.20289 0.0483886 0.0228 4.79047 1.7523 
5.20289 0.0483763 0.0228 4.79181 1.7523 
5.20288 0.0483596 0.0228 4.79313 1.7523 
5.20287 0.0483388 0.0228 4.79442 1.7523 
5.20286 0.0483138 0.0228 4.79568 1.7523 
5.20284 0.0482849 0.0228 4.7969 1.7523 
5.20283 0.0482521 0.0228 4.79807 1.7523 
5.20281 0.0482158 0.0228 4.79919 1.7523 
5.20279 0.0481761 0.0228 4.80025 1.7523 
5.20277 0.0481333 0.0228 4.80125 1.7523 
5.20274 0.0480875 0.0228 4.80219 1.7523 
5.20272 0.0480391 0.0228 4.80306 1.7523 
5.20269 0.0479882 0.0228 4.80386 1.7523 
5.20267 0.0479352 0.0228 4.80458 1.7523 
5.20264 0.0478804 0.0228 4.80523 1.7523 
5.20261 0.0478239 0.0228 4.8058 1.7523 
5.20258 0.0477662 0.0228 4.80629 1.7523 
5.20255 0.0477073 0.0228 4.8067 1.7523 
5.20252 0.0476477 0.0228 4.80702 1.7523 
5.20249 0.0475876 0.0228 4.80727 1.7523 
5.20246 0.0475272 0.0228 4.80743 1.7523 
5.20243 0.0474668 0.0228 4.80751 1.7523 
5.2024 0.0474067 0.0228 4.80752 1.7523 
5.20237 0.047347 0.0228 4.80744 1.7523 
5.20235 0.047288 0.0228 4.80728 1.7523 
5.20232 0.0472299 0.0228 4.80705 1.7523 
5.20229 0.0471729 0.0228 4.80674 1.7523 
5.20226 0.0471173 0.0228 4.80637 1.7523 
5.20223 0.0470632 0.0228 4.80592 1.7523 
5.20221 0.0470107 0.0228 4.8054 1.7523 
5.20218 0.04696 0.0228 4.80482 1.7523 
5.20216 0.0469114 0.0228 4.80418 1.7523 
5.20214 0.0468649 0.0228 4.80348 1.7523 
5.20212 0.0468207 0.0228 4.80272 1.7523 
5.2021 0.0467788 0.0228 4.80191 1.7523 
5.20208 0.0467394 0.0228 4.80106 1.7523 
5.20206 0.0467027 0.0228 4.80015 1.7523 
5.20204 0.0466686 0.0228 4.79921 1.7523 
5.20203 0.0466374 0.0228 4.79822 1.7523 
5.20201 0.046609 0.0228 4.7972 1.7523 
5.202 0.0465835 0.0228 4.79615 1.7523 
5.20199 0.046561 0.0228 4.79506 1.7523 
5.20198 0.0465415 0.0228 4.79396 1.7523 
5.20197 0.0465252 0.0228 4.79283 1.7523 
5.20197 0.0465119 0.0228 4.79169 1.7523 
5.20196 0.0465018 0.0228 4.79053 1.7523 
5.20196 0.0464949 0.0228 4.78936 1.7523 
5.20196 0.0464911 0.0228 4.78819 1.7523 
5.20196 0.0464906 0.0228 4.78701 1.7523 
5.20196 0.0464932 0.0228 4.78584 1.7523 
5.20196 0.0464991 0.0228 4.78467 1.7523 
5.20196 0.0465081 0.0228 4.78351 1.7523 
5.20197 0.0465203 0.0228 4.78236 1.7523 
5.20198 0.0465356 0.0228 4.78122 1.7523 
5.20199 0.046554 0.0228 4.78011 1.7523 
5.202 0.0465755 0.0228 4.77902 1.7523 
5.20201 0.0465999 0.0228 4.77796 1.7523 
5.20202 0.0466274 0.0228 4.77692 1.7523 
5.20204 0.0466577 0.0228 4.77593 1.7523 
5.20205 0.0466908 0.0228 4.77497 1.7523 
5.20207 0.0467266 0.0228 4.77405 1.7523 
5.20209 0.0467651 0.0228 4.77317 1.7523 
5.20211 0.0468061 0.0228 4.77235 1.7523 
5.20213 0.0468496 0.0228 4.77157 1.7523 
5.20215 0.0468953 0.0228 4.77085 1.7523 
5.20218 0.0469433 0.0228 4.77019 1.7523 
5.2022 0.0469932 0.0228 4.76959 1.7523 
5.20223 0.0470451 0.0228 4.76905 1.7523 
5.20225 0.0470987 0.0228 4.76858 1.7523 
5.20228 0.0471538 0.0228 4.76818 1.7523 
5.20231 0.0472104 0.0228 4.76785 1.7523 
5.20234 0.0472681 0.0228 4.76759 1.7523 
5.20236 0.0473268 0.0228 4.76741 1.7523 
5.20239 0.0473863 0.0228 4.7673 1.7523 
5.20242 0.0474463 0.0228 4.76728 1.7523 
5.20245 0.0475066 0.0228 4.76733 1.7523 
5.20248 0.0475671 0.0228 4.76747 1.7523 
5.20251 0.0476273 0.0228 4.76768 1.7523 
5.20254 0.0476871 0.0228 4.76798 1.7523 
5.20257 0.0477462 0.0228 4.76836 1.7523 
5.2026 0.0478044 0.0228 4.76882 1.7523 
5.20263 0.0478613 0.0228 4.76937 1.7523 
5.20266 0.0479168 0.0228 4.76999 1.7523 
5.20268 0.0479704 0.0228 4.77069 1.7523 
5.20271 0.048022 0.0228 4.77146 1.7523 
5.20273 0.0480713 0.0228 4.77231 1.7523 
5.20276 0.048118 0.0228 4.77322 1.7523 
5.20278 0.0481619 0.0228 4.7742 1.7523 
5.2028 0.0482027 0.0228 4.77525 1.7523 
5.20282 0.0482402 0.0228 4.77635 1.7523 
5.20284 0.0482741 0.0228 4.7775 1.7523 
5.20285 0.0483044 0.0228 4.7787 1.7523 
5.20287 0.0483307 0.0228 4.77994 1.7523 
5.20288 0.048353 0.0228 4.78122 1.7523 
5.20289 0.0483711 0.0228 4.78253 1.7523 
5.20289 0.0483849 0.0228 4.78387 1.7523 
5.2029 0.0483943 0.0228 4.78522 1.7523 
5.2029 0.0483992 0.0228 4.78658 1.7523 
5.2029 0.0483997 0.0228 4.78793 1.7523 
5.2029 0.0483957 0.0228 4.7893 1.7523 
5.20289 0.0483872 0.0228 4.79065 1.7523 
5.20289 0.0483744 0.0228 4.79199 1.7523 
5.20288 0.0483572 0.0228 4.7933 1.7523 
5.20287 0.0483358 0.0228 4.79459 1.7523 
5.20285 0.0483103 0.0228 4.79584 1.7523 
5.20284 0.0482808 0.0228 4.79705 1.7523 
5.20282 0.0482476 0.0228 4.79822 1.7523 
5.2028 0.0482109 0.0228 4.79933 1.7523 
5.20278 0.0481707 0.0228 4.80038 1.7523 
5.20276 0.0481275 0.0228 4.80138 1.7523 
5.20274 0.0480814 0.0228 4.80231 1.7523 
